Date,Body_Weight,Calories,Protein,Bench_Press,Squat
1/1/2026,80.2,2450,150,60,80
1/2/2026,79.9,2550,162,60,80
1/3/2026,80.1,2300,145,60,80
1/4/2026,80.4,2600,155,60,80
1/5/2026,79.8,2420,150,62,82
1/6/2026,79.7,2480,158,62,82
1/7/2026,80,2510,160,62,82
1/8/2026,79.5,2390,148,62,82
1/9/2026,79.6,2440,152,62,82
1/10/2026,79.3,2520,156,62,82
1/11/2026,79.5,2580,165,62,82
1/12/2026,79.2,2410,150,64,85
1/13/2026,79.1,2350,142,64,85
1/14/2026,79.4,2490,155,64,85
1/15/2026,78.9,2460,151,64,85
1/16/2026,79,2500,158,64,85
1/17/2026,78.7,2620,164,64,85
1/18/2026,78.8,2430,150,64,85
1/19/2026,78.5,2380,147,66,88
1/20/2026,78.6,2470,154,66,88
1/21/2026,78.3,2530,159,66,88
1/22/2026,78.2,2400,149,66,88
1/23/2026,78.4,2440,153,66,88
1/24/2026,78.1,2560,161,66,88
1/25/2026,78,2310,144,66,88
1/26/2026,78.2,2450,152,68,90
1/27/2026,77.9,2490,156,68,90
1/28/2026,77.7,2500,158,68,90
1/29/2026,77.8,2420,150,68,90
1/30/2026,77.5,2370,146,68,90
1/31/2026,77.6,2550,163,68,90
2/1/2026,77.3,2610,165,68,90
2/2/2026,77.4,2430,151,70,92
2/3/2026,77.1,2390,148,70,92
2/4/2026,77.2,2460,155,70,92
2/5/2026,76.9,2480,154,70,92
2/6/2026,77,2520,160,70,92
2/7/2026,76.7,2340,145,70,92
2/8/2026,76.8,2440,152,70,92
2/9/2026,76.5,2410,150,72,95
2/10/2026,76.6,2470,153,72,95
2/11/2026,76.3,2530,159,72,95
2/12/2026,76.2,2500,157,72,95
2/13/2026,76.4,2380,147,72,95
2/14/2026,76.1,2450,152,72,95
2/15/2026,76,2590,166,72,95
2/16/2026,76.2,2420,151,74,98
2/17/2026,75.9,2400,149,74,98
2/18/2026,75.7,2460,154,74,98
2/19/2026,75.8,2480,156,74,98
2/20/2026,75.5,2320,143,74,98
2/21/2026,75.6,2510,158,74,98
2/22/2026,75.3,2550,162,74,98
2/23/2026,75.4,2440,152,76,102
2/24/2026,75.1,2370,146,76,102
2/25/2026,75.2,2450,153,76,102
2/26/2026,74.9,2490,157,76,102
2/27/2026,75,2530,161,76,102
2/28/2026,74.7,2600,164,76,102
3/1/2026,74.8,2410,150,76,102
3/2/2026,74.5,2360,145,78,105
3/3/2026,74.6,2460,154,78,105
3/4/2026,74.3,2480,155,78,105
3/5/2026,74.2,2500,158,78,105
3/6/2026,74.4,2330,142,78,105
3/7/2026,74.1,2440,152,78,105
3/8/2026,74,2540,161,78,105
3/9/2026,74.2,2420,151,80,110
3/10/2026,73.9,2390,148,80,110
3/11/2026,73.7,2470,155,80,110
3/12/2026,73.8,2490,156,80,110
3/13/2026,73.5,2510,159,80,110
3/14/2026,73.6,2580,163,80,110
3/15/2026,73.3,2350,144,80,110
3/16/2026,73.4,2430,152,82,112
3/17/2026,73.1,2460,153,82,112
3/18/2026,73.2,2480,156,82,112
3/19/2026,72.9,2500,157,82,112
3/20/2026,73,2310,141,82,112
3/21/2026,72.7,2520,160,82,112
3/22/2026,72.8,2560,164,82,112
3/23/2026,72.5,2440,152,84,115
3/24/2026,72.6,2400,150,84,115
3/25/2026,72.3,2450,153,84,115
